гаршнеп	болотная птица отряда
иномарка	автомобиль иностранного производства
эдельвейс	травянистое растение семейства
мышеловка	приспособление для ловли
мельница	машина для размола
ложка	предметов столового прибора
факел	место на поверхности
тенета	сеть для ловли
кондуит	россии до революции
автоматчик	специалист в области
сайда	промысловая рыба семейства
привод	устройство для приведения
теолог	специалист в области
нитка	тонкой длинной линии
самодержавие	система государственного управления
квадрат	произведение от умножения
караулка	помещение для караула
месиво	корм для скота
искусствоведение	комплекс научных дисциплин
заливное	кушанье из мяса
пятидесятница	праздников у христиан
малыш	человеке маленького роста
кладовая	помещение для хранения
морковь	кормовое растение семейства
пасха	кушанье из творога
рекреация	помещение для отдыха \| перерыв для отдыха
помост	настил из досок
большевик	член большевистской партии
казак	дону на кубани
немец	преподаватель немецкого языка \| учитель немецкого языка
ромб	офицерского знака различия
шашлык	кушанье из кусочков
садок	помещение для содержания
кпд	коэффициент полезного действия
манометр	прибор для измерения
створ	место у реки
сговор	соглашение между родителями
эхолот	прибор для измерения
волномер	прибор для измерения
бумага	материал для письма
фараон	старинной азартной игры
гильотина	орудие смертной казни
индекс	система условных обозначений
дезинфекция	средства для уничтожения
телохранитель	сотрудник личной охраны
судостроитель	специалист в области
неверность	нарушение супружеской верности
волокуша	орудие для выравнивания
кукловод	актер кукольного театра
бокал	сосуд из стекла
насморк	воспаление слизистой оболочки
олива	южное дерево семейства
яркость	количество световой энергии
альтруизм	стремление к деятельности
неправильность	уклонение от нормы
отпуск	освобождение от работы
энергетик	специалист в области
плазма	воздействием высокой температуры
зола	остаток от сжигания
жилище	помещение для жилья
коммунист	член коммунистической партии
монашество	аскетическом образе жизни
унция	введения метрической системы
грация	предмет женского туалета
ржавчина	налет на поверхности
лист	страниц печатного текста
пеструшка	птичка из семейства
улан	военный из частей
музыкант	специалист в области
болезнь	отклонение от нормы
нагреватель	прибор для нагревания
библиограф	специалист в области
житие	повествование о жизни
авиасалон	выставка новейших образцов
накладка	украшение из материи
атлетика	совокупность гимнастических упражнений
недостача	отсутствие нужного количества
естественник	студент учебного заведения
яма	место для хранения
хлеб-соль	растение из зерен
ползунок	одежда для детей
завод	приспособление для приведения
четверик	русская мера объёма
психотерапевт	специалист в области
смеситель	машина для приготовления
ученик	учащийся средней школы
реалист	ученик реального училища
спец	годы советской власти
загородка	участок для содержания
могильщик	птица из породы
выпуск	выгон для скота
субъективизм	направление идеалистической философии
сектор	сфера народного хозяйства
пыж	игра в городки
медиа	средства массовой информации
нарзан	источник минеральных вод
охлаждение	состояние полного равнодушия
маска	слепок из гипса
мастурбация	получение сексуального удовлетворения
проводник	провожатый для указания
плевательница	сосуд в к
гиацинт	декоративное растение семейства
реактор	аппарат для осуществления
рефрен	тема музыкального произведения
лиственница	хвойное дерево семейства
вмятина	углубление на поверхности
электрик	специалист в области
пылесос	аппарат для очистки
мозжечок	отдел головного мозга
филе	мясо высшего сорта
зажим	приспособление для зажимания
металлургия	отрасль тяжёлой промышленности
дерматолог	специалист в области
сифон	устройство для увеличения
крюк	приспособление для переноски
астронавт	специалист в области
методист	специалист в области
щука	пресноводная промысловая рыба
абитуриент	выпускник средней школы
мартын	птица из породы
водосбор	растение из семейства
угольник	инструмент для проверки
краска	слой на поверхности
видеокамера	аппарат для записи
радиолокатор	устройство для обнаружения
форель	промысловая рыба семейства
причет	духовенство христианского храма
пробег	нахождение в пути
баклан	водоплавающая птица отряда
биология	комплекс научных дисциплин
совет	органов государственного управления
химик	специалист в области
водолей	сосуд для умывания
механик	специалист в области
гастрит	воспаление слизистой оболочки
пророчество	воззрениям различных религий
каша	игра в городки
скотовод	специалист в области
портрет	произведение изобразительного искусства
июль	месяца календарного года
государыня	глава монархического государства
судно	сосуд для испражнений
брешь	отсутствие необходимых средств
геометр	специалист в области
клуб	эпоху великой революции
сомнение	состояние душевного разлада
трал	устройство для обнаружения
котик	изделия из меха
рукав	шланг для подачи
оживление	переход из состояния
голавль	рыба из породы
геодезист	специалист в области
ягодица	сосок женской груди
эндокринолог	специалист в области
чон	части особого назначения
нефтепровод	трубопровод для передачи
барометр	прибор для измерения
мулат	потомок от браков
бетономешалка	машина для приготовления
сущность	вопроса в сущности
киновед	специалист в области
ми	буквы греческого алфавита
этнограф	специалист в области
комитет	орган государственного управления
чувство	психическое состояние человека
журавль	перелётная птица отряда
силок	приспособление для ловли
нехватка	отсутствие нужного количества
демограф	специалист в области
судостроение	отрасль тяжелой промышленности
йога	система физических упражнений
атомщик	специалист в области
элемент	прибор для получения
минога	рыба из семейства
носилки	приспособление для переноски
феска	шапочка из фетра
флейта	духовой музыкальный инструмент
раздвоенность	состояние душевного разлада
скачка	состязания верховых лошадей
воспитанник	учащийся средней школы
революция	социалистическая революция г
валторна	музыкальный духовой инструмент
скотник	помещение для скота
радиоаппаратура	аппаратура для передачи
сверчок	насекомое из отряда
минея	книга для чтения
изнурение	состояние крайнего утомления
горшок	сосуд для мочи
хронология	раздел исторической науки
трубка	прибор для курения
студия	школа для подготовки
стопа	сосуд для вина
предостережение	мера социальной защиты
бессилие	недостаток физических сил
пробка	приспособление для закрывания
властолюбие	стремление к власти \| любовь к власти
гетера	женщина легкого поведения
красноармеец	боец красной армии \| военнослужащий красной армии
биолог	специалист в области
пюпитр	подставка для нот
форсунка	прибор для распыления
психиатр	специалист в области
косметика	средства для ухода
флорист	специалист в области
кран	устройство для управления
верша	приспособление для ловли
шредер	машина для измельчения
сопротивление	странах западной европы
уродство	отклонение от нормы
кульминация	момент наивысшего напряжения
самолюбие	чувство собственного достоинства
экзерсис	упражнение для развития
залом	рыба из породы
товарищество	коллективизации сельского хозяйства
астрофизик	специалист в области
раздевалка	помещение для хранения
фугас	заряд взрывчатого вещества
статуэтка	произведение изобразительного искусства
май	месяц календарного года
пойнтер	собака из породы
имитация	повторение музыкальной темы
морг	помещение для покойников
патронаж	покровительство со стороны
колер	состояние сильного возбуждения
шифр	система условных знаков
резец	орудие каменного века
привратник	выход из желудка
пролог	жанров древнерусской литературы
земство	россии до революции
скачки	состязания верховых лошадей
детектор	устройство для обнаружения
лубянка	изделие из луба
тетрадь	листы чистой бумаги
безразличие	состояние полного равнодушия
окрошка	кушанье из кваса
девочка	женщина легкого поведения
пуговка	кнопка электрического звонка
бюджетник	работник бюджетной организации
аконит	травянистое растение семейства
сексопатолог	специалист в области
щетинник	травянистых растений семейства
рационализм	направление в теории
акватория	поверхность водного пространства
клеть	устройство для подъема
шатен	краска для волос
усилитель	устройство для усиления
стратосфера	слой земной атмосферы
ветрогон	устройство для создания
газовик	работник газовой промышленности
бузина	настой из цветов
центрифуга	устройство для создания
лингвист	специалист в области
запасник	помещение для хранения
рыбоохрана	охрана рыбных запасов
музыковед	специалист в области
хронограф	прибор для измерения
путч	попытка государственного переворота
гарнец	мера сыпучих тел
вьюн	пресноводная рыба отряда
наклад	место на к
получка	получение заработной платы
буфет	шкаф для хранения
интервьюер	специалист в области
оперативник	офицер оперативного отдела
чеканка	способ художественной обработки
анафема	отлучение от церкви
служба	совершение в церкви
фагот	язычковый музыкальный инструмент
пожарник	работник пожарной команды
эколог	специалист в области
фаэтон	кузов легкового автомобиля
горсовет	совет народных депутатов
молокан	сорное растение семейства
шлюз	сооружение для перехода
брешь	разрыв в цепи
сиг	промысловая рыба семейства
рукопись	памятник древней письменности
природоведение	наука о природе
ветка	линия железной дороги
естествоиспытатель	специалист в области
пищуха	певчая птица отряда
домкрат	механизм для подъема
подвес	приспособление для подвешивания
чугун	сосуд округлой формы
мудрец	человек большого ума
батя	командир воинского подразделения
позитивизм	отношение к действительности
возбудимость	способность живых клеток
окулист	специалист в области
историк	специалист в области
венчик	предмет кухонной утвари
магистрат	управление в россии
залежь	месторождение полезных ископаемых
виселица	орудие смертной казни
диетолог	специалист в области
грудинка	мясо грудной части
поучение	жанр древнерусской литературы
член	лицо из числа
виадук	сооружение для перехода
психоаналитик	специалист в области
неврастения	расстройство нервной системы
лесхоз	предприятие лесного хозяйства
историограф	специалист в области
боб	травянистое растение семейства
военный	службе в армии
пропись	письмо от руки
бандура	щипковый музыкальный инструмент
сумка	приспособление для переноски
помилование	освобождение от наказания
ползунки	одежда для детей
ветеринар	специалист в области
тепляк	помещение для содержания
свирель	символ поэтического творчества
микрокосм	мир малых величин
оборот	способ словесного выражения
социолог	специалист в области
окунь	хищная рыба семейства
журавль	приспособление для подъема
дивизия	соединение военных кораблей
ставка	размер заработной платы
духобор	сект духовных христиан
бородач	хищная птица семейства
освещенность	отношение светового потока
забегаловка	продажей алкогольных напитков
отдельность	свойство горных пород
угольщик	специалист в области
синица	певчая птица отряда
мина	монета соответствующего достоинства
пачка	совокупность однородных предметов
редька	овощное растение семейства
оборачиваемость	движение транспортных средств
корабельщик	специалист в области
лак	изделия из дерева
мешок	вместилище для хранения
богослужение	совершение в церкви
свидетельство	дача свидетельских показаний
универсал	инструмент для измерения
геликон	духовой музыкальный инструмент
стекло	гладкой поверхности воды
выборка	группа однородных предметов
баба	фигура из снега
ажур	ведение бухгалтерского учета
пемза	пористая горная порода
авокадо	вечнозеленое дерево семейства
ракетчик	специалист в области
совнарком	совет народных комиссаров
ковш	созвездие большой медведицы
агроном	специалист в области
борец	травянистое растение семейства
коллегия	группа должностных лиц
обогреватель	прибор для обогревания
поп	игре в городки
амбар	строение для хранения
генетик	специалист в области
утка	сосуд для мочи
канон	повторение музыкальной темы
культура	сфера человеческой деятельности
дробь	звуки от ударов
беспокойство	состояние нервного возбуждения
исполком	исполнительного комитета совета
кипятильник	прибор для кипячения
угольщик	судно для перевозки
шоумен	специалист в области
вольность	отступление от правил \| отступление от нормы
хлеб	растение из зерен
прагматизм	направление в философии
матушка	жена духовного лица
океанография	раздел физической географии
салфетка	изделие из ткани
декабрь	месяц календарного года
шалфей	полукустарниковое растение семейства
загон	участок для содержания
изабелла	вина из винограда
торговля	отрасль народного хозяйства
злоба	чувство гневного раздражения
землеведение	раздел физической географии
трансформация	преобразование переменного тока
комик	человек веселого нрава
этап	пункт на пути
бульдог	револьвер особой системы
зеленка	корм для скота
страус	птица жарких стран
лесовоз	судно для перевозки
лира	щипковый музыкальный инструмент
впадина	понижение земной поверхности
кружка	сосуд из стекла
модератор	приспособление для регулирования
аберрация	отклонение от нормы
декрет	отпуск по беременности
монастырь	уединённом образе жизни
свеча	приспособление для воспламенения
отдача	коэффициент полезного действия
сервант	шкафа для посуды
архиерей	высших чинов духовенства
стоматолог	специалист в области
партиец	член коммунистической партии
домоводство	ведение домашнего хозяйства
юла	певчая птица отряда
лихорадка	состояние крайнего возбуждения
футляр	вместилище для хранения
палеонтолог	специалист в области
горелка	устройство для распыления
мопс	порода комнатных собак
возлияние	употребление спиртных напитков
начмед	начальник медицинской службы
улица	простор для проявления
природопользование	использование природных богатств
градусник	прибор для измерения
глубина	расстояние от поверхности
март	месяц календарного года
аллегория	выражение отвлеченного понятия
