фру	скандинавские страна
слалом	скоростной спуск
пассив	страдательный залог
горбыль	промысловая рыба
оглядка	запоздалое сожаление
нарождение	процесс действия
кошка	железные шип
ламинария	бурые водоросль
нимфа	греч мифологии
дурачок	слабоумный человек
сигнальщик	ряде производств
гривенник	серебряная монета
военачальник	флотский начальник
стеснение	процесс действия
апельсин	овальный плод
бытовик	работник предприятия
дом	составе названий
крещение	церковные праздник
сперматозоид	половая клетка
десятилетие	промежуток времени
богема	образ жизни
голубятня	специальное помещение
знаменитость	знаменитый человек
уста	рот губы
разъезд	остановочный пункт
занижение	процесс действия
фронт	поверхность раздела
орда	вражеское войско
горб	сгорбил спина
вотум	государственное право
спасатель	спасательное судно
вопрос	предмет исследования
порядок	последовательный порядок
двор	единица счета
партбюро	партийное бюро
фотоаппарат	фотографический аппарат
микробиология	научная дисциплина
сведение	официальный отчет
безденежье	недостаточное количество
голец	пресноводная рыба
чаепитие	питье чая
гений	древнеримская мифология
гон	место охоты
галстук	полоска ткани
ладан	ароматическая смола
перемирие	временное прекращение
сноп	большой охапка
свекловица	сахарная свекла
бабушка	старая женщина
почесть	общественное положение
когорта	отряд войска
борец	травянистое растение
ужин	вечерний прием
поддержка	группа людей
кулон	единица измерения
повторение	точную копия
переборка	внутренняя стенка
вожделение	страстное желание
заглавие	музыкальное произведение
стойка	вертикальный брус
мерзавчик	половины стакана
инверсия	повышение температуры
малый	обозначения человека
имя	имени москвы
околица	окольная дорога
карбюратор	углеродистое вещество
люкс	высокий качество
спирея	кустарниковое растение
коррупция	моральное разложение
товарищ	упоминания имени
фланг	шахматная игра
хранитель	должностное лицо
оргстекло	органическое стекло
ценность	высокая стоимость
попечитель	должностное лицо
классик	крупный писатель
блоха	составе названий
пучина	церковные купол
сурик	минеральная краска
хаджи	почётный титул
плюшка	полный человек
монада	низкий организм
кондиция	условие договора
полдороги	середина расстояния
навык	практический умение
довольство	чувство удовольствия
автобаза	место стоянки
гречка	небольшие пятнышко
шуршание	глухой шум
полумера	радикальное мероприятие \| радикальное средство
комплекция	общий характер
олух	глупый человек
ухватка	манера поведения
разлучение	процесс действия
труха	сухая масса
грузопоток	движение грузов
трагизм	мрачная сторона
коллоид	коллоидная система
сап	свистящие звук
проводник	железнодорожный служащий
изуверство	варварское отношение
архитектура	искусство проектирования
тетеря	сонный человек
щелк	резкий звук
индивидуальность	отдельная личность
воссоздание	процесс действия
забулдыга	беспутный человек
петух	задорный человек
институт	исследовательское учреждение
схватка	спортивное состязание
оперетта	театральная труппа
козырь	статный человек
скит	небольшой поселок
ситуация	совокупность условий
подковырка	насмешливое замечание
лютня	музыкальный инструмент
шлагбаум	выдвижное устройство
вага	поперечный брус
фурия	богиня мщения
чугун	сплав железа
кулак	различные машина
крепление	процесс действия
проекция	идеалистическая философия
подготовленность	наличие запаса
манипуляция	движение руки
поправка	процесс действия
логика	внутренняя закономерность
буян	сказочный остров
консервирование	процесс действия
артельщик	член артели \| ответственное лицо
выхухоль	пушной зверек
птенец	неопытный человек
роса	время суток
подавление	процесс действия
джиу-джитсу	японская система
очевидность	непосредственное наблюдение
самум	сухой ветер
тарелка	музыкальный инструмент
бухгалтерия	учет доходов
агат	твёрдый глаз
столбик	масса вещества
величина	равный величина
демография	научная дисциплина
мавзолей	надгробный памятник
баррель	мера вместимости
противление	процесс действия
лиризм	лирическое настроение
одышка	затруднило дыхание
молния	стенная газета
акафист	церковная служба
сирень	декоративный кустарник
лагерь	временное поселение
поглотитель	пористое вещество
торос	полярные море
телефон	абонентский номер
рескрипт	древний рим
образчик	показательный пример
крупа	дроблёное зерно
льдинка	кусочек льда
мимоза	обидчивый человек
выпадение	процесс действия
бронетранспортер	колёсная машина
наводка	ось канала
струп	сухая корочка
агрономия	научная дисциплина
деньга	медная монета
бутафор	театральный служащий
стрежень	глубокое место
грач	перелётная птица
кожица	внешняя оболочка
опубликование	процесс действия
лесопарк	пригородный лес
производство	отрасль деятельности
писание	процесс действия
протяжение	промежуток времени
цинизм	грубая откровенность
хвоя	хвойный запах
сидение	процесс действия
титул	заглавие книги
либретто	словесный текст
гик	горизонтальная балка
хна	кустарниковое растение
маркиз	дворянский титул
попович	сын священника
опухоль	болезненное вздутие
землеведение	область изучения
роман	любовный отношение
щучка	травянистое растение
бюджет	средства существования \| роспись доходов \| государственная роспись
отлучка	временное отсутствие
инжир	сладкий плод
перекур	короткий перерыв \| короткий отдых
серп	сельскохозяйственное орудие
впадина	углублённое место
платонизм	идеалистическая философия
магия	совокупность приёмов
баталия	спортивные состязание
нечаянность	нечаянный случай
суглинок	горная порода
кредо	символ веры
виши	минеральный вода
азарт	сильное увлечение
просветление	процесс действия
девиз	краткая надпись
времянка	железная печка
иудейство	иудейская религия
оснащение	совокупность средств
фиалка	фиолетовый цветок
форточка	передний разрез
фраза	музыкальное выражение
знакомство	круг знакомых
кадь	русская мера
кресс	травянистое растение
завиток	прядь волос
молоток	упорный человек
перемычка	узкая полоса
завещание	официальный документ
ширинка	полоса ткани
штабист	штабной офицер
прозрение	процесс действия
кусок	кусок хлеба
константа	постоянная величина
фундаментализм	религиозная ортодоксия
директор	руководитель предприятия
ангстрем	единица длины
смысл	логическое содержание
служба	подсобный помещение
дочка	ласковое обращение
дура	глупая женщина
онкология	раздел медицины
фельетон	журнальная статья
гидравлика	гидравлические механизм
регламентация	установление правил
центр	буржуазные парламент
перестраховка	страхового учреждение
фаянс	керамический материал
синяк	подкожное кровоизлияние
водоизмещение	количество воды
довершение	процесс действия
скамья	предмет мебели
квартет	детские игра
фетиш	первобытные народ
парша	заболевание растений
технология	совокупность наук
включение	инородная частица
бартер	бартерная сделка
атлетика	гимнастический упражнение
лак	внешний блеск
полупальто	короткое пальто
рык	угрожал рев
хрыч	старый человек
постановка	положение тела
скалка	деревянный валик
поднесение	процесс действия
гласный	выборный член
первооснова	основное начало
глыба	грузный человек
пропись	начальная стадия
термин	формальная логика
падь	глубокая долина
колода	полный комплект
диво	сказочное существо
песнь	составе названий
солонка	небольшой сосуд
ложемент	небольшой окоп
капиталист	капиталистическое общество
преобразование	коренное изменение
цесарь	московская русь
этика	нормы поведения
поверье	сверхъестественная способность
облигация	ценная бумага
дровосек	древесный жук
совещание	процесс действия
червяк	зубчатое колесо
дымка	пелена тумана
официоз	печатный орган
образок	небольшой образ
разноречие	наличие противоречия
самолов	рыболовная снасть
жюри	группа экспертов
кортеж	торжественное шествие
канва	льняная ткань
румянец	цвет лица
семерка	игральная карта
узаконение	процесс действия
шеф	высокопоставленное лицо
сфинкс	крылатое чудовище
тога	верхнюю одежда
атаман	высокий начальник
мутация	наследственное изменение
травник	старинная книга
перевозчик	птица семейства
статус	международное право
замещение	химическая реакция
ямб	стихотворный размер
ветрянка	ветряная мельница
фанера	тонкие лист
солея	православная церковь
шафер	свадебный обряд
галерея	длинное строение
постамент	основание памятника
валерьяна	травянистое растение
никель	верхний слой
союз	государственное объединение
витамин	органическое вещество
эрозия	процесс разрушения
вольт	единица измерения
друг	близкий приятель
разбег	длина пути
товар	предметом продажи
пигмент	синтетический краситель
ячея	отдельное звено
тачанка	парная повозка
эпидермис	покровная ткань
эскадрилья	воздушный флот
прилавок	узкий стол
макулатура	литературный газета
сильфида	бесплотное существо
страница	сторона листа
гуманность	гуманное отношение
провод	линия электропередач
генштаб	генеральный штаб
вилка	металлический стержень
камея	резной камень
тюрбан	головной убор
пол-литра	бутылка водки
бечевка	тонкая веревка
обладание	фактическое пользование
работа	литературное произведение
властелин	полный хозяин
экспонент	показатель степени
хмель	хмельный напиток
дипломат	осеннее пальто
глаголица	славянские азбука
утреня	церковная служба
кабачок	огородное растение
настроение	душевное состояние
автоколонна	автотранспортное предприятие
страдалец	льца человек
бархан	песчаный нанос
заклепка	металлический стержень
рассечение	процесс действия
олимпиада	спортивное соревнование
парадокс	неожиданное явление
просвет	светлая полоса
умопомешательство	потеря рассудка
образина	бранное слово
треуголка	треугольная шляпа
овсянка	перелётная птичка
аграрий	крупный землевладелец
бандероль	почтовое отправление
вложение	почтовое отправление
богиня	предмете поклонения
беднота	неимущие человек
ресторатор	владелец ресторана
аскетизм	образ жизни
связка	группа альпинистов
шасси	посадочное устройство
реконструкция	коренное переустройство
хозяин	глава семьи
папоротник	споровое растение
братишка	малолетний брат
вилка	результат стрельбы
инспектор	должностное лицо
нужда	нужды нужд
чутье	способность человека
репортаж	репортёрская работа
лаборант	помощник профессора
отречение	официальный документ
прохлада	приятный холодок
прокуратор	древний рим
миньон	бальный танец
забота	неотложное дело
гарнизон	воинский часть
полцены	половинная цена
анахронизм	пережиток старины
перерыв	период времени
джинн	злой дух
кальян	курительный прибор
этика	философская наука
выход	отношение количества
пустота	отсутствие интересов
сенбернар	сильная собака
присвист	свистящий призвук
номенклатура	номенклатурные работник
тишина	отсутствие шума
гидра	отрицательное явление
трибуна	высокое сооружение
невменяемость	психическое состояние
ось	центр тяжести
трактат	научное сочинение
иждивение	полное содержание
логистика	философские направление
агония	последний попытка
адресат	круг людей
сторона	точка зрения
мафия	преступная группа
сморчок	невзрачный человек
тоталитаризм	тоталитарный режим
бушлат	форменная одежда
горлица	лесной птица
осинник	осиновый дрова
цыганочка	народная песня
рыба	водное позвоночное
миноносец	быстроходное судно
плошка	плоский сосуд
пещера	большого углубление
публика	обычные посетитель
материя	объективная реальность
чеканка	поверхность металла
низы	массы населения
капиталист	богатый человек
посещаемость	количество посещений
стаксель	треугольный парус
поползновение	слабая попытка
сокровищница	место хранения
муфта	предмет одежды
фетиш	непререкаемый авторитет
предположение	предварительное суждение
вуз	учебное заведение
закоулок	отдалённое место
история	совокупность наук
безразличие	безучастное отношение
круча	крутой спуск
милиция	местное управление
хрестоматия	учебное пособие
город-герой	почётное звание
гормон	активное вещество
самоуправление	организации работы
алебарда	старинное оружие
задержание	процесс действия
танцплощадка	танцевальная площадка
лицо	индивидуальный облик
мальва	травянистое растение
исполин	великий человек
пародист	автор пародий
увеселение	процесс действия
имитация	создание видимости
влагалище	место соединения
перевязь	полоса материи
кадка	деревянный сосуд
сердцевина	внутренняя сущность
вертушка	товарный поезд
репейник	сорное растение
мандраж	состояние страха
посудомойка	моющая посуда
увлечение	сердечное чувство
образование	процесс получения
лимонад	прохладительный напиток
ода	лирическое стихотворение
психоз	психическая болезнь
любовница	влюбила женщина
блокада	система мероприятий
обычай	привычный образ
клетчатка	соединительная ткань
птичка	ласковое обращение
яхта	парусная лодка
отпадение	процесс действия
казенщина	бездушный формализм
месиво	беспорядочное соединение
разврат	точки зрения
лайка	мягкая кожа
оселок	средство проверки
упругость	свойство тела
сенат	верхнюю палата
светоч	большой свеча
король	титул монарха
чертеж	географическая карта
ширь	широкое пространство
веретено	механическое приспособление
встряска	строгий выговор
мастерство	профессиональная выучка
светильник	различные устройство
ланцет	хирургический инструмент
кисть	манера письма
гросс	мера счета
огонь	детские игра
полость	полое пространство
бесславие	дурная слава
налим	пресноводная рыба
допуск	допустимое отклонение
книга	листы бумаги
гигиена	раздел медицины
кара	суровое наказание
коррекция	внесение изменений
засека	заповедный лес
окаменелость	окаменелые остаток \| остатки животных
доказательство	неоспоримый довод
башмачок	декоративные растение
пятница	день недели
возгорание	процесс действия
чекан	специальный инструмент
гротеск	художественный прием
ужин	прием пищи
волосок	нитевидный отросток
разновидность	единичный представитель
